Hardconstraint 33,E,1,10,30,60,180,600
,traveltime,100,9.0,9.0,9.0,9.0,9.0,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,percentage,7.695409756760541e-31,2.363940267439924e-27,2.3644265699724284e-27,2.367002257775014e-27,2.44432708644704e-27,6.131416927507544e-27,1.7395350135192284e-13,8.888617347730311e-21,4.8543767565884974e-17,1.1620483857623637e-22,3.176016286076386e-25,1.3911630958146343e-24,8.069470258821834e-19,3.2124581455149013e-18,3.3119009781562826e-21,4.9248466998405677e-29,3.093197233183145e-26,2.723277735890779e-24,3.9748736361813184e-27,4.970162611292125e-23
